year,country,country_id,artist,song,language,final_place,final_points,final_points_tele,final_points_jury,final_running,which_semifinal,semifinal_place,semifinal_points,semifinal_points_tele,semifinal_points_jury,semifinal_running
1986,Finland,fi,Kari Kuivalainen,Never the End,Finnish,15,22,,,19.0,No Semifinal,,,,,
1986,France,fr,Cocktail Chic,Européennes,French,17,13,,,3.0,No Semifinal,,,,,
1986,Germany,de,Ingrid Peters,Über die Brücke geh'n,German,8,62,,,14.0,No Semifinal,,,,,
1986,Iceland,is,ICY,Gleðibankinn,Icelandic,16,19,,,6.0,No Semifinal,,,,,
1986,Ireland,ie,Luv Bug,You Can Count On Me,English,4,96,,,12.0,No Semifinal,,,,,
1986,Israel,il,Moti Giladi & Sarai Tzuriel,Yavo Yom (יבוא יום),Hebrew,19,7,,,11.0,No Semifinal,,,,,
1986,Luxembourg,lu,Sherisse Laurence,L'amour de ma vie,French,3,117,,,1.0,No Semifinal,,,,,
1986,Netherlands,nl,Frizzle Sizzle,Alles heeft ritme,Dutch,13,40,,,7.0,No Semifinal,,,,,
1986,Norway,no,Ketil Stokkan,Romeo,Norwegian,12,44,,,4.0,No Semifinal,,,,,
1986,Portugal,pt,Dora,Não sejas mau para mim,Portuguese,14,28,,,20.0,No Semifinal,,,,,
1986,Spain,es,Cadillac,Valentino,Spanish,10,51,,,9.0,No Semifinal,,,,,
1986,Sweden,se,Lasse Holm & Monica Törnell,E' de' det här du kallar kärlek?,Swedish,5,78,,,17.0,No Semifinal,,,,,
1986,Switzerland,ch,Daniela Simmons,Pas pour moi,French,2,140,,,10.0,No Semifinal,,,,,
1986,Turkey,tr,Klips ve Onlar,Halley,Turkish,9,53,,,8.0,No Semifinal,,,,,
1986,United Kingdom,gb,Ryder,Runner in the Night,English,7,72,,,5.0,No Semifinal,,,,,
1986,Yugoslavia,yu,Doris Dragović,Željo moja,Serbo-Croatian,11,49,,,2.0,No Semifinal,,,,,
1987,Austria,at,Gary Lux,Nur noch Gefühl,German,20,8,,,3.0,No Semifinal,,,,,
1987,Belgium,be,Liliane Saint-Pierre,Soldiers of Love,Dutch,11,56,,,5.0,No Semifinal,,,,,
1987,Cyprus,cy,Alexia,Aspro-mavro (Άσπρο-μαύρο),Greek,7,80,,,17.0,No Semifinal,,,,,
1987,Denmark,dk,Anne-Cathrine Herdorf & Bandjo,En lille melodi,Danish,5,83,,,19.0,No Semifinal,,,,,
1987,Finland,fi,Vicky Rosti & Boulevard,Sata salamaa,Finnish,15,32,,,18.0,No Semifinal,,,,,
1987,France,fr,Christine Minier,Les mots d'amour n'ont pas de dimanche,French,14,44,,,15.0,No Semifinal,,,,,
1987,Germany,de,Wind,Lass die Sonne in dein Herz,German,2,141,,,16.0,No Semifinal,,,,,
1987,Greece,gr,Bang,Stop (Στοπ),Greek,10,64,,,11.0,No Semifinal,,,,,
1987,Iceland,is,Halla Margrét,Hægt og hljótt,Icelandic,16,28,,,4.0,No Semifinal,,,,,
1987,Ireland,ie,Johnny Logan,Hold Me Now,English,1,172,,,20.0,No Semifinal,,,,,
1987,Israel,il,"Natan Datner and Avi Kushnir (as ""Lazy Bums"")",Shir Habatlanim (שיר הבטלנים),Hebrew,8,73,,,2.0,No Semifinal,,,,,
1987,Italy,it,Umberto Tozzi & Raf,Gente di mare,Italian,3,103,,,7.0,No Semifinal,,,,,
1987,Luxembourg,lu,Plastic Bertrand,"Amour, amour",French,21,4,,,13.0,No Semifinal,,,,,
1987,Netherlands,nl,Marcha,Rechtop in de wind,Dutch,5,83,,,12.0,No Semifinal,,,,,
1987,Norway,no,Kate Gulbrandsen,Mitt liv,Norwegian,9,65,,,1.0,No Semifinal,,,,,
1987,Portugal,pt,Nevada,Neste barco à vela,Portuguese,18,15,,,8.0,No Semifinal,,,,,
1987,Spain,es,Patricia Kraus,No estás solo,Spanish,19,10,,,9.0,No Semifinal,,,,,
1987,Sweden,se,Lotta Engberg,Boogaloo,Swedish,12,50,,,6.0,No Semifinal,,,,,
1987,Switzerland,ch,Carol Rich,"Moitié, moitié",French,17,26,,,22.0,No Semifinal,,,,,
1987,Turkey,tr,Seyyal Taner & Lokomotif,Şarkım Sevgi Üstüne,Turkish,22,0,,,10.0,No Semifinal,,,,,
1987,United Kingdom,gb,Rikki,Only the Light,English,13,47,,,14.0,No Semifinal,,,,,
1987,Yugoslavia,yu,Novi fosili,Ja sam za ples,Serbo-Croatian,4,92,,,21.0,No Semifinal,,,,,
1988,Austria,at,Wilfried,Lisa Mona Lisa,German,21,0,,,12.0,No Semifinal,,,,,
1988,Belgium,be,Reynaert,Laissez briller le soleil,French,18,5,,,16.0,No Semifinal,,,,,
1988,Denmark,dk,Hot Eyes,Ka' du se hva' jeg sa'?,Danish,3,92,,,13.0,No Semifinal,,,,,
1988,Finland,fi,Boulevard,Nauravat silmät muistetaan,Finnish,20,3,,,3.0,No Semifinal,,,,,
1988,France,fr,Gérard Lenorman,Chanteur de charme,French,10,64,,,19.0,No Semifinal,,,,,
1988,Germany,de,Maxi & Chris Garden,Lied für einen Freund,German,14,48,,,11.0,No Semifinal,,,,,
1988,Greece,gr,Afroditi Frida,Clown (Κλόουν),Greek,17,10,,,14.0,No Semifinal,,,,,
1988,Iceland,is,Beathoven,Þú og þeir (Sókrates),Icelandic,16,20,,,1.0,No Semifinal,,,,,
1988,Ireland,ie,Jump the Gun,Take Him Home,English,8,79,,,10.0,No Semifinal,,,,,
1988,Israel,il,Yardena Arazi,Ben Adam (בן אדם),Hebrew,7,85,,,8.0,No Semifinal,,,,,
1988,Italy,it,Luca Barbarossa,Vivo (Ti scrivo),Italian,12,52,,,18.0,No Semifinal,,,,,
1988,Luxembourg,lu,Lara Fabian,Croire,French,4,90,,,17.0,No Semifinal,,,,,
1988,Netherlands,nl,Gerard Joling,Shangri-La,Dutch,9,70,,,7.0,No Semifinal,,,,,
1988,Norway,no,Karoline Krüger,For vår jord,Norwegian,5,88,,,15.0,No Semifinal,,,,,
1988,Portugal,pt,Dora,Voltarei,Portuguese,18,5,,,20.0,No Semifinal,,,,,
1988,Spain,es,La Década,La chica que yo quiero (Made in Spain),Spanish,11,58,,,6.0,No Semifinal,,,,,
1988,Sweden,se,Tommy Körberg,Stad i ljus,Swedish,12,52,,,2.0,No Semifinal,,,,,
1988,Switzerland,ch,Céline Dion,Ne partez pas sans moi,French,1,137,,,9.0,No Semifinal,,,,,
1988,Turkey,tr,MFÖ,Sufi,Turkish,15,37,,,5.0,No Semifinal,,,,,
1988,United Kingdom,gb,Scott Fitzgerald,Go,English,2,136,,,4.0,No Semifinal,,,,,
1988,Yugoslavia,yu,Srebrna krila,Mangup,Serbo-Croatian,6,87,,,21.0,No Semifinal,,,,,
1989,Austria,at,Thomas Forstner,Nur ein Lied,German,5,97,,,13.0,No Semifinal,,,,,
1989,Belgium,be,Ingeborg,Door de wind,Dutch,19,13,,,6.0,No Semifinal,,,,,
1989,Cyprus,cy,Fani Polymeri & Yiannis Savvidakis,Apopse as vrethume (Απόψε ας βρεθούμε),Greek,11,51,,,17.0,No Semifinal,,,,,
1989,Denmark,dk,Birthe Kjær,Vi maler byen rød,Danish,3,111,,,12.0,No Semifinal,,,,,
1989,Finland,fi,Anneli Saaristo,La dolce vita,Finnish,7,76,,,14.0,No Semifinal,,,,,
1989,France,fr,Nathalie Pâque,J'ai volé la vie,French,8,60,,,15.0,No Semifinal,,,,,
1989,Germany,de,Nino de Angelo,Flieger,German,14,46,,,21.0,No Semifinal,,,,,
1989,Greece,gr,Marianna Efstratiou,To diko sou asteri (Το δικό σου αστέρι),Greek,9,56,,,19.0,No Semifinal,,,,,
1989,Iceland,is,Daníel Ágúst Haraldsson,Það sem enginn sér,Icelandic,22,0,,,20.0,No Semifinal,,,,,
1989,Ireland,ie,Kiev Connolly & The Missing Passengers,The Real Me,English,18,21,,,3.0,No Semifinal,,,,,
1989,Israel,il,Gili Netanel & Galit Burg-Michael,Derekh Hamelekh (דרך המלך),Hebrew,12,50,,,2.0,No Semifinal,,,,,
1989,Italy,it,Anna Oxa & Fausto Leali,Avrei voluto,Italian,9,56,,,1.0,No Semifinal,,,,,
1989,Luxembourg,lu,Park Café,Monsieur,French,20,8,,,11.0,No Semifinal,,,,,
1989,Netherlands,nl,Justine Pelmelay,Blijf zoals je bent,Dutch,15,45,,,4.0,No Semifinal,,,,,
1989,Norway,no,Britt Synnøve Johansen,Venners nærhet,Norwegian,17,30,,,8.0,No Semifinal,,,,,
1989,Portugal,pt,Da Vinci,Conquistador,Portuguese,16,39,,,9.0,No Semifinal,,,,,
1989,Spain,es,Nina,Nacida para amar,Spanish,6,88,,,16.0,No Semifinal,,,,,
1989,Sweden,se,Tommy Nilsson,En dag,Swedish,4,110,,,10.0,No Semifinal,,,,,
1989,Switzerland,ch,Furbaz,Viver senza tei,Romansh,13,47,,,18.0,No Semifinal,,,,,
1989,Turkey,tr,Pan,Bana Bana,Turkish,21,5,,,5.0,No Semifinal,,,,,
1989,United Kingdom,gb,Live Report,Why Do I Always Get it Wrong?,English,2,130,,,7.0,No Semifinal,,,,,
1989,Yugoslavia,yu,Riva,Rock Me,Serbo-Croatian,1,137,,,22.0,No Semifinal,,,,,
1990,Austria,at,Simone,Keine Mauern mehr,German,10,58,,,20.0,No Semifinal,,,,,
1990,Belgium,be,Philippe Lafontaine,Macédomienne,French,12,46,,,3.0,No Semifinal,,,,,
1990,Cyprus,cy,Haris Anastasiou,Milas poli (Μιλάς πολύ),Greek,14,36,,,21.0,No Semifinal,,,,,
1990,Denmark,dk,Lonnie Devantier,Hallo Hallo,Danish,8,64,,,11.0,No Semifinal,,,,,
1990,Finland,fi,Beat,Fri?,Swedish,21,8,,,22.0,No Semifinal,,,,,
1990,France,fr,Joëlle Ursull,White and Black Blues,French,2,132,,,14.0,No Semifinal,,,,,
1990,Germany,de,Chris Kempers & Daniel Kovac,Frei zu leben,German,9,60,,,13.0,No Semifinal,,,,,
1990,Greece,gr,Christos Callow & Wave,Horis skopo (Χωρίς σκοπό),Greek,19,11,,,2.0,No Semifinal,,,,,
1990,Iceland,is,Stjórnin,Eitt lag enn,Icelandic,4,124,,,8.0,No Semifinal,,,,,
1990,Ireland,ie,Liam Reilly,Somewhere in Europe,English,2,132,,,17.0,No Semifinal,,,,,
1990,Israel,il,Rita,Shara Barkhovot (שרה ברחובות),Hebrew,18,16,,,10.0,No Semifinal,,,,,
1990,Italy,it,Toto Cutugno,Insieme: 1992,Italian,1,149,,,19.0,No Semifinal,,,,,
1990,Luxembourg,lu,Céline Carzo,Quand je te rêve,French,13,38,,,6.0,No Semifinal,,,,,
1990,Netherlands,nl,Maywood,Ik wil alles met je delen,Dutch,15,25,,,5.0,No Semifinal,,,,,
1990,Norway,no,Ketil Stokkan,Brandenburger Tor,Norwegian,21,8,,,9.0,No Semifinal,,,,,
1990,Portugal,pt,Nucha,Há sempre alguém,Portuguese,20,9,,,16.0,No Semifinal,,,,,
1990,Spain,es,Azúcar Moreno,Bandido,Spanish,5,96,,,1.0,No Semifinal,,,,,
1990,Sweden,se,Edin-Ådahl,Som en vind,Swedish,16,24,,,18.0,No Semifinal,,,,,
1990,Switzerland,ch,Egon Egemann,Musik klingt in die Welt hinaus,German,11,51,,,12.0,No Semifinal,,,,,
1990,Turkey,tr,Kayahan,Gözlerinin Hapsindeyim,Turkish,17,21,,,4.0,No Semifinal,,,,,
1990,United Kingdom,gb,Emma,Give a Little Love Back to the World,English,6,87,,,7.0,No Semifinal,,,,,
1990,Yugoslavia,yu,Tajči,Hajde da ludujemo,Serbo-Croatian,7,81,,,15.0,No Semifinal,,,,,
1991,Austria,at,Thomas Forstner,Venedig im Regen,German,22,0,,,6.0,No Semifinal,,,,,
1991,Belgium,be,Clouseau,Geef het op,Dutch,16,23,,,18.0,No Semifinal,,,,,
1991,Cyprus,cy,Elena Patroklou,SOS,Greek,9,60,,,21.0,No Semifinal,,,,,
1991,Denmark,dk,Anders Frandsen,Lige der hvor hjertet slår,Danish,19,8,,,13.0,No Semifinal,,,,,
1991,Finland,fi,Kaija Kärkinen,Hullu yö,Finnish,20,6,,,16.0,No Semifinal,,,,,
1991,France,fr,Amina,C'est le dernier qui a parlé qui a raison,French,2,146,,,9.0,No Semifinal,,,,,
1991,Germany,de,Atlantis 2000,Dieser Traum darf niemals sterben,German,18,10,,,17.0,No Semifinal,,,,,
1991,Greece,gr,Sophia Vossou,I anixi(Η άνοιξη),Greek,13,36,,,4.0,No Semifinal,,,,,
1991,Iceland,is,Stefán & Eyfi,Nína,Icelandic,15,26,,,2.0,No Semifinal,,,,,
1991,Ireland,ie,Kim Jackson,Could It Be That I'm In Love,English,10,47,,,11.0,No Semifinal,,,,,
1991,Israel,il,Duo Datz,Kan (כאן),Hebrew,3,139,,,15.0,No Semifinal,,,,,
1991,Italy,it,Peppino di Capri,Comme è ddoce 'o mare,Neapolitan,7,89,,,22.0,No Semifinal,,,,,
1991,Luxembourg,lu,Sarah Bray,Un baiser volé,French,14,29,,,7.0,No Semifinal,,,,,
1991,Malta,mt,Georgina & Paul Giordimaina,Could It Be,English,6,106,,,3.0,No Semifinal,,,,,
1991,Norway,no,Just 4 Fun,Mrs. Thompson,Norwegian,17,14,,,14.0,No Semifinal,,,,,
1991,Portugal,pt,Dulce Pontes,Lusitana paixão,Portuguese,8,62,,,12.0,No Semifinal,,,,,
1991,Spain,es,Sergio Dalma,Bailar pegados,Spanish,4,119,,,19.0,No Semifinal,,,,,
1991,Sweden,se,Carola,Fångad av en stormvind,Swedish,1,146,,,8.0,No Semifinal,,,,,
1991,Switzerland,ch,Sandra Simó,Canzone per te,Italian,5,118,,,5.0,No Semifinal,,,,,
1991,Turkey,tr,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",İki Dakika,Turkish,12,44,,,10.0,No Semifinal,,,,,
1991,United Kingdom,gb,Samantha Janus,A Message to Your Heart,English,10,47,,,20.0,No Semifinal,,,,,
1991,Yugoslavia,yu,Baby Doll,Brazil (Бразил),Serbo-Croatian,21,1,,,1.0,No Semifinal,,,,,
1992,Austria,at,Tony Wegas,Zusammen geh'n,German,10,63,,,15.0,No Semifinal,,,,,
1992,Belgium,be,Morgane,"Nous, on veut des violons",French,20,11,,,2.0,No Semifinal,,,,,
1992,Cyprus,cy,Evridiki,Teriazoume (Ταιριάζουμε),Greek,11,57,,,9.0,No Semifinal,,,,,
1992,Denmark,dk,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,Danish,12,47,,,18.0,No Semifinal,,,,,
1992,Finland,fi,Pave Maijanen,"Yamma, yamma",Finnish,23,4,,,12.0,No Semifinal,,,,,
1992,France,fr,Kali,Monté la riviè,"French, Antillean Creole",8,73,,,6.0,No Semifinal,,,,,
1992,Germany,de,Wind,Träume sind für alle da,German,16,27,,,22.0,No Semifinal,,,,,
1992,Greece,gr,Cleopatra,Olou tou kosmou i Elpida (Όλου του κόσμου η Ελπίδα),Greek,5,94,,,5.0,No Semifinal,,,,,
1992,Iceland,is,Heart 2 Heart,Nei eða já,Icelandic,7,80,,,11.0,No Semifinal,,,,,
1992,Ireland,ie,Linda Martin,Why Me?,English,1,155,,,17.0,No Semifinal,,,,,
1992,Israel,il,Dafna Dekel,Ze Rak Sport (זה רק ספורט),Hebrew,6,85,,,3.0,No Semifinal,,,,,
1992,Italy,it,Mia Martini,Rapsodia,Italian,4,111,,,19.0,No Semifinal,,,,,
1992,Luxembourg,lu,Marion Welter & Kontinent,Sou fräi,Luxembourgish,21,10,,,14.0,No Semifinal,,,,,
1992,Malta,mt,Mary Spiteri,Little Child,English,3,123,,,10.0,No Semifinal,,,,,
1992,Netherlands,nl,Humphrey Campbell,Wijs me de weg,Dutch,9,67,,,23.0,No Semifinal,,,,,
1992,Norway,no,Merethe Trøan,Visjoner,Norwegian,18,23,,,21.0,No Semifinal,,,,,
1992,Portugal,pt,Dina,Amor d'água fresca,Portuguese,17,26,,,8.0,No Semifinal,,,,,
1992,Spain,es,Serafín,Todo esto es la música,Spanish,14,37,,,1.0,No Semifinal,,,,,
1992,Sweden,se,Christer Björkman,I morgon är en annan dag,Swedish,22,9,,,7.0,No Semifinal,,,,,
1992,Switzerland,ch,Daisy Auvray,Mister Music Man,French,15,32,,,13.0,No Semifinal,,,,,
1992,Turkey,tr,Aylin Vatankoş,Yaz Bitti,Turkish,19,17,,,4.0,No Semifinal,,,,,
1992,United Kingdom,gb,Michael Ball,One Step Out of Time,English,2,139,,,16.0,No Semifinal,,,,,
1992,Yugoslavia,yu,Extra Nena,Ljubim te pesmama (Љубим те песмама),Serbo-Croatian,13,44,,,20.0,No Semifinal,,,,,
1993,Austria,at,Tony Wegas,Maria Magdalena,German,14,32,,,10.0,No Semifinal,,,,,
1993,Belgium,be,Barbara Dex,Iemand als jij,Dutch,25,3,,,7.0,No Semifinal,,,,,
1993,Bosnia and Herzegovina,ba,Fazla,Sva bol svijeta,Serbo-Croatian,16,27,,,18.0,No Semifinal,,,,,
1993,Croatia,hr,Put,Don't Ever Cry,"Croatian, English",15,31,,,21.0,No Semifinal,,,,,
1993,Cyprus,cy,Zimboulakis & Van Beke,Mi stamatas (Μη σταματάς),Greek,19,17,,,23.0,No Semifinal,,,,,
1993,Denmark,dk,Tommy Seebach Band,Under stjernerne på himlen,Danish,22,9,,,5.0,No Semifinal,,,,,
1993,Finland,fi,Katri Helena,Tule luo,Finnish,17,20,,,17.0,No Semifinal,,,,,
1993,France,fr,Patrick Fiori,Mama Corsica,"French, Corsican",4,121,,,12.0,No Semifinal,,,,,
1993,Germany,de,Münchener Freiheit,Viel zu weit,German,18,18,,,3.0,No Semifinal,,,,,
1993,Greece,gr,Katerina Garbi,"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",Greek,9,64,,,6.0,No Semifinal,,,,,
1993,Iceland,is,Inga,Þá veistu svarið,Icelandic,13,42,,,9.0,No Semifinal,,,,,
1993,Ireland,ie,Niamh Kavanagh,In Your Eyes,English,1,187,,,14.0,No Semifinal,,,,,
1993,Israel,il,Lahakat Shiru,Shiru (שירו),"Hebrew, English",24,4,,,24.0,No Semifinal,,,,,
1993,Italy,it,Enrico Ruggeri,Sole d'Europa,Italian,12,45,,,1.0,No Semifinal,,,,,
1993,Luxembourg,lu,Modern Times,Donne-moi une chance,"French, Luxembourgish",20,11,,,15.0,No Semifinal,,,,,
1993,Malta,mt,William Mangion,This Time,English,8,69,,,8.0,No Semifinal,,,,,
1993,Netherlands,nl,Ruth Jacott,Vrede,Dutch,6,92,,,20.0,No Semifinal,,,,,
1993,Norway,no,Silje Vige,Alle mine tankar,Norwegian,5,120,,,25.0,No Semifinal,,,,,
1993,Portugal,pt,Anabela,A cidade (até ser dia),Portuguese,10,60,,,11.0,No Semifinal,,,,,
1993,Slovenia,si,1X Band,Tih deževen dan,Slovene,22,9,,,16.0,No Semifinal,,,,,
1993,Spain,es,Eva Santamaría,Hombres,Spanish,11,58,,,22.0,No Semifinal,,,,,
1993,Sweden,se,Arvingarna,Eloise,Swedish,7,89,,,13.0,No Semifinal,,,,,
1993,Switzerland,ch,Annie Cotton,"Moi, tout simplement",French,3,148,,,4.0,No Semifinal,,,,,
1993,Turkey,tr,Burak Aydos,Esmer Yarim,Turkish,21,10,,,2.0,No Semifinal,,,,,
1993,United Kingdom,gb,Sonia,Better the Devil You Know,English,2,164,,,19.0,No Semifinal,,,,,
1994,Austria,at,Petra Frey,Für den Frieden der Welt,German,17,19,,,20.0,No Semifinal,,,,,
1994,Bosnia and Herzegovina,ba,Alma & Dejan,Ostani kraj mene,Bosnian,15,39,,,18.0,No Semifinal,,,,,
1994,Croatia,hr,Tony Cetinski,Nek' ti bude ljubav sva,Croatian,16,27,,,7.0,No Semifinal,,,,,
1994,Cyprus,cy,Evridiki,Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Greek,11,51,,,4.0,No Semifinal,,,,,
1994,Estonia,ee,Silvi Vrait,Nagu merelaine,Estonian,24,2,,,10.0,No Semifinal,,,,,
1994,Finland,fi,CatCat,Bye Bye Baby,"Finnish, English",22,11,,,2.0,No Semifinal,,,,,
1994,France,fr,Nina Morato,Je suis un vrai garçon,French,7,74,,,25.0,No Semifinal,,,,,
1994,Germany,de,MeKaDo,Wir geben 'ne Party,German,3,128,,,14.0,No Semifinal,,,,,
1994,Greece,gr,Kostas Bigalis & The Sea Lovers,To trehandiri (Το τρεχαντήρι),Greek,14,44,,,19.0,No Semifinal,,,,,
1994,Hungary,hu,Friderika Bayer,Kinek mondjam el vétkeimet?,Hungarian,4,122,,,22.0,No Semifinal,,,,,
1994,Iceland,is,Sigga,Nætur,Icelandic,12,49,,,5.0,No Semifinal,,,,,
1994,Ireland,ie,Paul Harrington & Charlie McGettigan,Rock 'n' Roll Kids,English,1,226,,,3.0,No Semifinal,,,,,
1994,Lithuania,lt,Ovidijus Vyšniauskas,Lopšinė mylimai,Lithuanian,25,0,,,16.0,No Semifinal,,,,,
1994,Malta,mt,Chris and Moira,More than Love,English,5,97,,,12.0,No Semifinal,,,,,
1994,Netherlands,nl,Willeke Alberti,Waar is de zon,Dutch,23,4,,,13.0,No Semifinal,,,,,
1994,Norway,no,Elisabeth Andreassen & Jan Werner Danielsen,Duett,Norwegian,6,76,,,17.0,No Semifinal,,,,,
1994,Poland,pl,Edyta Górniak,To nie ja!,Polish,2,166,,,24.0,No Semifinal,,,,,
1994,Portugal,pt,Sara Tavares,Chamar a música,Portuguese,8,73,,,8.0,No Semifinal,,,,,
1994,Romania,ro,Dan Bittman,Dincolo de nori,Romanian,21,14,,,11.0,No Semifinal,,,,,
1994,Russia,ru,Youddiph,Vechny strannik (Вечный странник),Russian,9,70,,,23.0,No Semifinal,,,,,
1994,Slovakia,sk,Tublatanka,Nekonečná pieseň,Slovak,19,15,,,15.0,No Semifinal,,,,,
1994,Spain,es,Alejandro Abad,Ella no es ella,Spanish,18,17,,,21.0,No Semifinal,,,,,
1994,Sweden,se,Marie Bergman & Roger Pontare,Stjärnorna,Swedish,13,48,,,1.0,No Semifinal,,,,,
1994,Switzerland,ch,Duilio,Sto pregando,Italian,19,15,,,9.0,No Semifinal,,,,,
1994,United Kingdom,gb,Frances Ruffelle,We Will Be Free (Lonely Symphony),English,10,63,,,6.0,No Semifinal,,,,,
1995,Austria,at,Stella Jones,Die Welt dreht sich verkehrt,German,13,67,,,8.0,No Semifinal,,,,,
1995,Belgium,be,Frédéric Etherlinck,La voix est libre,French,20,8,,,14.0,No Semifinal,,,,,
1995,Bosnia and Herzegovina,ba,Davorin Popović,Dvadeset prvi vijek,Bosnian,19,14,,,4.0,No Semifinal,,,,,
1995,Croatia,hr,Magazin & Lidija,Nostalgija,Croatian,6,91,,,11.0,No Semifinal,,,,,
1995,Cyprus,cy,Alexandros Panayi,Sti fotia (Στη φωτιά),Greek,9,79,,,17.0,No Semifinal,,,,,
1995,Denmark,dk,Aud Wilken,Fra Mols til Skagen,Danish,5,92,,,19.0,No Semifinal,,,,,
1995,France,fr,Nathalie Santamaria,Il me donne rendez-vous,French,4,94,,,12.0,No Semifinal,,,,,
1995,Germany,de,Stone & Stone,Verliebt in Dich,German,23,1,,,3.0,No Semifinal,,,,,
1995,Greece,gr,Elina Konstantopoulou,Pia prosefhi (Ποια προσευχή),Greek,12,68,,,23.0,No Semifinal,,,,,
1995,Hungary,hu,Csaba Szigeti,Új név a régi ház falán,Hungarian,22,3,,,13.0,No Semifinal,,,,,
1995,Iceland,is,Bo Halldórsson,Núna,Icelandic,15,31,,,7.0,No Semifinal,,,,,
1995,Ireland,ie,Eddie Friel,Dreamin',English,14,44,,,2.0,No Semifinal,,,,,
1995,Israel,il,Liora,Amen (אמן),Hebrew,8,81,,,21.0,No Semifinal,,,,,
1995,Malta,mt,Mike Spiteri,Keep Me In Mind,English,10,76,,,22.0,No Semifinal,,,,,
1995,Norway,no,Secret Garden,Nocturne,Norwegian,1,148,,,5.0,No Semifinal,,,,,
1995,Poland,pl,Justyna,Sama,Polish,18,15,,,1.0,No Semifinal,,,,,
1995,Portugal,pt,Tó Cruz,Baunilha e chocolate,Portuguese,21,5,,,16.0,No Semifinal,,,,,
1995,Russia,ru,Philipp Kirkorov,Kolybelnaya dlya vulkana (Колыбельная для вулкана),Russian,17,17,,,6.0,No Semifinal,,,,,
1995,Slovenia,si,Darja Švajger,Prisluhni mi,Slovene,7,84,,,20.0,No Semifinal,,,,,
1995,Spain,es,Anabel Conde,Vuelve conmigo,Spanish,2,119,,,9.0,No Semifinal,,,,,
1995,Sweden,se,Jan Johansen,Se på mig,Swedish,3,100,,,18.0,No Semifinal,,,,,
1995,Turkey,tr,Arzu Ece,Sev,Turkish,16,21,,,10.0,No Semifinal,,,,,
1995,United Kingdom,gb,Love City Groove,Love City Groove,English,10,76,,,15.0,No Semifinal,,,,,
1996,Austria,at,George Nussbaumer,Weil's dr guat got,Vorarlbergish,10,68,,,8.0,No Semifinal,,,,,
1996,Belgium,be,Lisa del Bo,Liefde is een kaartspel,Dutch,16,22,,,16.0,No Semifinal,,,,,
1996,Bosnia and Herzegovina,ba,Amila Glamočak,Za našu ljubav,Bosnian,22,13,,,21.0,No Semifinal,,,,,
1996,Croatia,hr,Maja Blagdan,Sveta ljubav,Croatian,4,98,,,7.0,No Semifinal,,,,,
1996,Cyprus,cy,Constantinos,Mono gia mas (Μόνο για μας),Greek,9,72,,,5.0,No Semifinal,,,,,
1996,Estonia,ee,Maarja-Liis Ilus & Ivo Linna,Kaelakee hääl,Estonian,5,94,,,11.0,No Semifinal,,,,,
1996,Finland,fi,Jasmine,Niin kaunis on taivas,Finnish,23,9,,,18.0,No Semifinal,,,,,
1996,France,fr,Dan Ar Braz & l'Héritage des Celtes,Diwanit Bugale,Breton,19,18,,,13.0,No Semifinal,,,,,
1996,Greece,gr,Marianna Efstratiou,Emis forame to himona anixiatika (Εμείς φοράμε το χειμώνα ανοιξιάτικα),Greek,14,36,,,10.0,No Semifinal,,,,,
1996,Iceland,is,Anna Mjöll,Sjúbídú,Icelandic,13,51,,,19.0,No Semifinal,,,,,
1996,Ireland,ie,Eimear Quinn,The Voice,English,1,162,,,17.0,No Semifinal,,,,,
1996,Malta,mt,Miriam Christine,In a Woman's Heart,English,10,68,,,6.0,No Semifinal,,,,,
1996,Netherlands,nl,Maxine & Franklin Brown,De eerste keer,Dutch,7,78,,,15.0,No Semifinal,,,,,
1996,Norway,no,Elisabeth Andreassen,I evighet,Norwegian,2,114,,,12.0,No Semifinal,,,,,
1996,Poland,pl,Kasia Kowalska,Chcę znać swój grzech...,Polish,15,31,,,20.0,No Semifinal,,,,,
1996,Portugal,pt,Lúcia Moniz,O meu coração não tem cor,Portuguese,6,92,,,4.0,No Semifinal,,,,,
1996,Slovakia,sk,Marcel Palonder,Kým nás máš,Slovak,18,19,,,22.0,No Semifinal,,,,,
1996,Slovenia,si,Regina,Dan najlepših sanj,Slovene,21,16,,,14.0,No Semifinal,,,,,
1996,Spain,es,Antonio Carbonell,"¡Ay, qué deseo!",Spanish,20,17,,,3.0,No Semifinal,,,,,
1996,Sweden,se,One More Time,Den vilda,Swedish,3,100,,,23.0,No Semifinal,,,,,
1996,Switzerland,ch,Kathy Leander,Mon cœur l'aime,French,16,22,,,9.0,No Semifinal,,,,,
1996,Turkey,tr,Şebnem Paker,Beşinci Mevsim,Turkish,12,57,,,1.0,No Semifinal,,,,,
1996,United Kingdom,gb,Gina G,Ooh Aah... Just a Little Bit,English,8,77,,,2.0,No Semifinal,,,,,
1997,Austria,at,Bettina Soriat,One Step,German,21,12,,,4.0,No Semifinal,,,,,
1997,Bosnia and Herzegovina,ba,Alma Čardžić,Goodbye,Bosnian,18,22,,,14.0,No Semifinal,,,,,
